image,instruction
testset/0001.jpg,remove snow from the image
testset/0002.jpg,remove snow from the image
testset/0003.jpg,remove snow from the image
testset/0004.jpg,remove snow from the image
testset/0005.jpg,remove snow from the image
testset/0006.jpg,remove snow from the image
testset/0007.jpg,remove snow from the image
testset/0008.jpg,remove snow from the image
testset/0009.jpg,remove snow from the image
testset/0010.jpg,remove snow from the image
testset/0011.jpg,remove snow from the image
testset/0012.jpg,remove snow from the image
testset/0013.jpg,remove snow from the image
testset/0014.jpg,remove snow from the image
testset/0015.jpg,remove snow from the image
testset/0016.jpg,remove snow from the image
testset/0017.jpg,remove snow from the image
testset/0018.jpg,remove snow from the image
testset/0019.jpg,remove snow from the image
testset/0020.jpg,remove snow from the image
testset/0021.jpg,remove snow from the image
testset/0022.jpg,remove snow from the image
testset/0023.jpg,remove snow from the image
testset/0024.jpg,remove snow from the image
testset/0025.jpg,remove snow from the image
testset/0026.jpg,remove snow from the image
testset/0027.jpg,remove snow from the image
testset/0028.jpg,remove snow from the image
testset/0029.jpg,remove snow from the image
testset/0030.jpg,remove snow from the image
testset/0031.jpg,remove snow from the image
testset/0032.jpg,remove snow from the image
testset/0033.jpg,remove snow from the image
testset/0034.jpg,remove snow from the image
testset/0035.jpg,remove snow from the image
testset/0036.jpg,remove snow from the image
testset/0037.jpg,remove snow from the image
testset/0038.jpg,remove snow from the image
testset/0039.jpg,remove snow from the image
testset/0040.jpg,remove snow from the image
testset/0041.jpg,remove snow from the image
testset/0042.jpg,remove snow from the image
testset/0043.jpg,remove snow from the image
testset/0044.jpg,remove snow from the image
testset/0045.jpg,remove snow from the image
testset/0046.jpg,remove snow from the image
testset/0047.jpg,remove snow from the image
testset/0048.jpg,remove snow from the image
testset/0049.jpg,remove snow from the image
testset/0050.jpg,remove snow from the image
testset/0051.jpg,remove snow from the image
testset/0052.jpg,remove snow from the image
testset/0053.jpg,remove snow from the image
testset/0054.jpg,remove snow from the image
testset/0055.jpg,remove snow from the image
testset/0056.jpg,remove snow from the image
testset/0057.jpg,remove snow from the image
testset/0058.jpg,remove snow from the image
testset/0059.jpg,remove snow from the image
testset/0060.png,remove raindrops from the image
testset/0061.png,remove raindrops from the image
testset/0062.png,remove raindrops from the image
testset/0063.png,remove raindrops from the image
testset/0064.png,remove raindrops from the image
testset/0065.png,remove raindrops from the image
testset/0066.png,remove raindrops from the image
testset/0067.png,remove raindrops from the image
testset/0068.png,remove raindrops from the image
testset/0069.png,remove raindrops from the image
testset/0070.png,remove raindrops from the image
testset/0071.png,remove raindrops from the image
testset/0072.png,remove raindrops from the image
testset/0073.png,remove raindrops from the image
testset/0074.png,remove raindrops from the image
testset/0075.png,remove raindrops from the image
testset/0076.png,remove raindrops from the image
testset/0077.png,remove raindrops from the image
testset/0078.png,remove raindrops from the image
testset/0079.png,remove raindrops from the image
testset/0080.png,remove raindrops from the image
testset/0081.png,remove raindrops from the image
testset/0082.png,remove raindrops from the image
testset/0083.png,remove raindrops from the image
testset/0084.png,remove raindrops from the image
testset/0085.png,remove raindrops from the image
testset/0086.png,remove raindrops from the image
testset/0087.png,remove raindrops from the image
testset/0088.png,remove raindrops from the image
testset/0089.png,remove raindrops from the image
testset/0090.png,remove raindrops from the image
testset/0091.png,remove raindrops from the image
testset/0092.png,remove raindrops from the image
testset/0093.png,remove raindrops from the image
testset/0094.png,remove raindrops from the image
testset/0095.png,remove raindrops from the image
testset/0096.png,remove raindrops from the image
testset/0097.png,remove raindrops from the image
testset/0098.png,remove raindrops from the image
testset/0099.png,remove raindrops from the image
testset/0100.png,remove raindrops from the image
testset/0101.png,remove raindrops from the image
testset/0102.png,remove raindrops from the image
testset/0103.png,remove raindrops from the image
testset/0104.png,remove raindrops from the image
testset/0105.png,remove raindrops from the image
testset/0106.png,remove raindrops from the image
testset/0107.png,remove raindrops from the image
testset/0108.png,remove raindrops from the image
testset/0109.png,remove raindrops from the image
testset/0110.png,remove raindrops from the image
testset/0111.png,remove raindrops from the image
testset/0112.png,remove raindrops from the image
testset/0113.png,remove raindrops from the image
testset/0114.png,remove raindrops from the image
testset/0115.png,remove raindrops from the image
testset/0116.png,remove raindrops from the image
testset/0117.png,remove raindrops from the image
testset/0118.jpg,remove haze from the image
testset/0119.jpg,remove haze from the image
testset/0120.jpg,remove haze from the image
testset/0121.jpg,remove haze from the image
testset/0122.jpg,remove haze from the image
testset/0123.jpg,remove haze from the image
testset/0124.jpg,remove haze from the image
testset/0125.jpg,remove haze from the image
testset/0126.jpg,remove haze from the image
testset/0127.jpg,remove haze from the image
testset/0128.jpg,remove haze from the image
testset/0129.jpg,remove haze from the image
testset/0130.jpg,remove haze from the image
testset/0131.jpg,remove haze from the image
testset/0132.jpg,remove haze from the image
testset/0133.jpg,remove haze from the image
testset/0134.jpg,remove haze from the image
testset/0135.jpg,remove haze from the image
testset/0136.jpg,remove haze from the image
testset/0137.jpg,remove haze from the image
testset/0138.jpg,remove haze from the image
testset/0139.jpg,remove haze from the image
testset/0140.jpg,remove haze from the image
testset/0141.jpg,remove haze from the image
testset/0142.jpg,remove haze from the image
testset/0143.jpg,remove haze from the image
testset/0144.jpg,remove haze from the image
testset/0145.jpg,remove haze from the image
testset/0146.jpg,remove haze from the image
testset/0147.jpg,remove haze from the image
testset/0148.jpg,remove haze from the image
testset/0149.jpg,remove haze from the image
testset/0150.jpg,remove haze from the image
testset/0151.jpg,remove haze from the image
testset/0152.jpg,remove haze from the image
testset/0153.jpg,remove haze from the image
testset/0154.jpg,remove haze from the image
testset/0155.jpg,remove haze from the image
testset/0156.jpg,remove haze from the image
testset/0157.jpg,remove haze from the image
testset/0158.jpg,remove haze from the image
testset/0159.jpg,remove haze from the image
testset/0160.jpg,remove haze from the image
testset/0161.jpg,remove haze from the image
testset/0162.jpg,remove haze from the image
testset/0163.jpg,remove haze from the image
testset/0164.jpg,remove haze from the image
testset/0165.jpg,remove haze from the image
testset/0166.jpg,remove haze from the image
testset/0167.png,remove rain from the image
testset/0168.png,remove rain from the image
testset/0169.png,remove rain from the image
testset/0170.png,remove rain from the image
testset/0171.png,remove rain from the image
testset/0172.png,remove rain from the image
testset/0173.png,remove rain from the image
testset/0174.png,remove rain from the image
testset/0175.png,remove rain from the image
testset/0176.png,remove rain from the image
testset/0177.png,remove rain from the image
testset/0178.png,remove rain from the image
testset/0179.png,remove rain from the image
testset/0180.png,remove rain from the image
testset/0181.png,remove rain from the image
testset/0182.png,remove rain from the image
testset/0183.png,remove rain from the image
testset/0184.png,remove rain from the image
testset/0185.png,remove rain from the image
testset/0186.png,remove rain from the image
testset/0187.png,remove rain from the image
testset/0188.png,remove rain from the image
testset/0189.png,remove rain from the image
testset/0190.png,remove rain from the image
testset/0191.png,remove rain from the image
testset/0192.png,remove rain from the image
testset/0193.png,remove rain from the image
testset/0194.png,remove rain from the image
testset/0195.png,remove rain from the image
testset/0196.png,remove rain from the image
testset/0197.png,remove rain from the image
testset/0198.png,remove rain from the image
testset/0199.png,remove rain from the image
testset/0200.png,remove rain from the image
testset/0201.png,remove rain from the image
testset/0202.png,remove rain from the image
testset/0203.png,remove rain from the image
testset/0204.png,remove rain from the image
testset/0205.png,remove rain from the image
testset/0206.png,remove rain from the image
testset/0207.png,remove rain from the image
testset/0208.png,remove rain from the image
testset/0209.png,remove rain from the image
testset/0210.png,remove rain from the image
testset/0211.png,remove rain from the image
testset/0212.png,remove rain from the image
testset/0213.png,remove rain from the image
testset/0214.png,remove rain from the image
testset/0215.png,remove rain from the image
testset/0216.png,remove rain from the image
testset/0217.png,remove rain from the image
testset/0218.png,remove rain from the image
testset/0219.png,remove rain from the image
testset/0220.png,remove rain from the image
testset/0221.png,remove rain from the image
testset/0222.png,remove rain from the image
testset/0223.png,remove rain from the image
testset/0224.png,remove rain from the image
testset/0225.png,remove rain from the image
testset/0226.png,remove rain from the image
testset/0227.png,remove rain from the image
testset/0228.png,remove rain from the image
testset/0229.png,remove rain from the image
testset/0230.png,remove rain from the image
